리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
96,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한기린532,수부지,미백/잡티,2025.01.30,5,수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"끈적임 적음, 빠른 흡수, 쫀쫀함, 수분감",4.5,,,
97,6,피치마이크로바이옴 78 피디알엔 토너,느긋한거북이455,건성,민감성,2025.11.06,4,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 수분감",4.5,https://drive.google.com/file/d/1-OQR2okAbv1t8GBBknKTTsagR3NRAboC/view?usp=sharing,,
98,6,피치마이크로바이옴 78 피디알엔 토너,게으른하마11,수부지,"민감성, 보습, 미백/잡티",2025.01.24,5,흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요.,"쫀쫀함, 수분감, 빠른 흡수, 끈적임 적음",4.5,,,
99,6,피치마이크로바이옴 78 피디알엔 토너,명랑한강아지242,수부지,"보습, 미백/잡티",2025.08.14,5,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 끈적임 적음, 빠른 흡수, 수분감",4.5,,,
100,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한두더지571,수부지,보습,2025.03.08,4,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"빠른 흡수, 수분감, 쫀쫀함",4.5,,,
101,6,피치마이크로바이옴 78 피디알엔 토너,조용한물개421,수부지,보습,2026.01.03,5,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"끈적임 적음, 쫀쫀함, 빠른 흡수",4.5,https://drive.google.com/file/d/1Vt1GQNTjNaU-ohHe38oURJGq8yihh3Wz/view?usp=sharing,https://drive.google.com/file/d/1mKACF91c_n8DB4KNStTreMRkHNtsw9sS/view?usp=sharing,
102,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한토끼583,건성,"미백/잡티, 민감성, 보습",2025.06.14,5,흡수가 빨라서 좋아요.,"수분감, 빠른 흡수, 끈적임 적음",4.5,,,
103,6,피치마이크로바이옴 78 피디알엔 토너,배부른고양이528,건성,"미백/잡티, 보습, 민감성",2026.06.21,5,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요.,"끈적임 적음, 빠른 흡수, 쫀쫀함, 수분감",4.5,,,
104,6,피치마이크로바이옴 78 피디알엔 토너,부지런한강아지858,건성,미백/잡티,2025.06.06,4,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 끈적임 적음, 수분감",4.5,,,
105,6,피치마이크로바이옴 78 피디알엔 토너,말랑한오리687,건성,"보습, 미백/잡티",2025.01.06,5,수분감이 오래가서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 재구매 의사 있어요!,"수분감, 쫀쫀함",4.5,,,
106,6,피치마이크로바이옴 78 피디알엔 토너,자유로운하마516,수부지,보습,2025.04.23,3,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요.,"수분감, 쫀쫀함, 빠른 흡수",4.5,,,
107,6,피치마이크로바이옴 78 피디알엔 토너,행복한해달118,수부지,없음,2026.09.06,5,쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"끈적임 적음, 쫀쫀함, 빠른 흡수, 수분감",4.5,,,
108,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한다람쥐367,건성,"민감성, 미백/잡티",2025.09.09,4,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 가격도 합리적이라 좋았어요.,"수분감, 끈적임 적음, 빠른 흡수",4.5,,,
109,6,피치마이크로바이옴 78 피디알엔 토너,몽글몽글한해달867,수부지,"민감성, 보습",2025.12.20,5,끈적임이 적어서 좋아요. 만족스러운 소비였어요.,"수분감, 끈적임 적음",4.5,,,
110,6,피치마이크로바이옴 78 피디알엔 토너,상큼한곰돌이500,수부지,없음,2026.07.21,5,'피치마이크로바이옴 78 피디알엔 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"수분감, 빠른 흡수, 끈적임 적음, 쫀쫀함",4.5,https://drive.google.com/file/d/1Y0VpjoYjM9lkUqqu_57ZOp5oIYEPVJIg/view?usp=sharing,,
111,7,무알콜 뮤신 에센스 토너,촉촉한펭귄511,건성,보습,2025.02.25,4,끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"향료 무첨가, 수분감, 빠른 흡수, 끈적임 적음",4.26,,,
112,7,무알콜 뮤신 에센스 토너,활발한앵무새780,복합성,"민감성, 보습",2025.03.15,4,'무알콜 뮤신 에센스 토너' 사용 후기예요. 향료가 첨가되지 않았어요. 흡수가 빨라서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 만족스러운 소비였어요.,"끈적임 적음, 빠른 흡수, 쫀쫀함, 향료 무첨가",4.26,,,
113,7,무알콜 뮤신 에센스 토너,산뜻한토끼73,건성,민감성,2025.02.23,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요.,"빠른 흡수, 쫀쫀함, 끈적임 적음",4.26,https://drive.google.com/file/d/1xkFf2LRMPHPZDxnwIuFNGfxHJfbuvCNp/view?usp=sharing,,
114,7,무알콜 뮤신 에센스 토너,소심한물개10,건성,"민감성, 보습",2025.04.21,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 향료가 첨가되지 않았어요. 쫀쫀한 텍스처가 마음에 들어요.,"빠른 흡수, 수분감, 쫀쫀함, 향료 무첨가, 끈적임 적음",4.26,,,
115,7,무알콜 뮤신 에센스 토너,느긋한오리870,복합성,"민감성, 보습",2025.01.16,1,쫀쫀한 텍스처가 마음에 들어요.,"쫀쫀함, 끈적임 적음",4.26,,,
116,7,무알콜 뮤신 에센스 토너,느긋한알파카597,건성,보습,2025.04.20,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 쫀쫀한 텍스처가 마음에 들어요. 다음에도 또 살 것 같아요.,"향료 무첨가, 끈적임 적음, 쫀쫀함, 빠른 흡수",4.26,,,
117,7,무알콜 뮤신 에센스 토너,말랑한알파카198,복합성,보습,2026.05.26,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 끈적임이 적어서 좋아요.,"끈적임 적음, 쫀쫀함, 향료 무첨가",4.26,,,
118,7,무알콜 뮤신 에센스 토너,부드러운나비807,건성,"보습, 민감성",2026.05.21,5,쫀쫀한 텍스처가 마음에 들어요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"쫀쫀함, 빠른 흡수, 수분감, 끈적임 적음",4.26,,,
119,7,무알콜 뮤신 에센스 토너,대담한거북이408,건성,민감성,2026.01.13,5,끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"빠른 흡수, 끈적임 적음",4.26,,,
120,7,무알콜 뮤신 에센스 토너,행복한강아지586,복합성,민감성,2025.01.20,3,끈적임이 적어서 좋아요. 쫀쫀한 텍스처가 마음에 들어요.,"끈적임 적음, 수분감, 쫀쫀함",4.26,https://drive.google.com/file/d/1TTno4GRWUqDa0HT2C4-_sTC2L7O-SxGG/view?usp=sharing,https://drive.google.com/file/d/1OcJlT0IRl93tn5Vbx6OrO_aTYcMOAoah/view?usp=sharing,
121,7,무알콜 뮤신 에센스 토너,조용한호랑이190,복합성,"민감성, 보습, 여드름",2025.09.11,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 수분감이 오래가서 좋아요.,"빠른 흡수, 수분감",4.26,,,
122,7,무알콜 뮤신 에센스 토너,익명의나비451,건성,"민감성, 보습, 모공",2025.03.14,4,'무알콜 뮤신 에센스 토너' 사용 후기예요. 향료가 첨가되지 않았어요.,"향료 무첨가, 빠른 흡수, 쫀쫀함",4.26,,,
123,7,무알콜 뮤신 에센스 토너,부지런한고양이217,건성,"보습, 민감성",2025.03.02,4,'무알콜 뮤신 에센스 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 재구매는 고민중이에요.,"끈적임 적음, 수분감",4.26,,,
124,7,무알콜 뮤신 에센스 토너,배부른토끼935,복합성,보습,2025.10.01,3,수분감이 오래가서 좋아요. 그냥 무난하게 쓰고 있어요.,"수분감, 빠른 흡수",4.26,,,
125,7,무알콜 뮤신 에센스 토너,용감한코알라709,복합성,"보습, 민감성",2026.03.22,4,'무알콜 뮤신 에센스 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 끈적임이 적어서 좋아요. 향료가 첨가되지 않았어요. 재구매는 고민중이에요.,"쫀쫀함, 향료 무첨가, 끈적임 적음, 빠른 흡수",4.26,,,
126,7,무알콜 뮤신 에센스 토너,조용한나비572,건성,"보습, 민감성",2025.06.13,5,쫀쫀한 텍스처가 마음에 들어요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"쫀쫀함, 끈적임 적음, 수분감",4.26,,,
127,7,무알콜 뮤신 에센스 토너,행복한곰돌이821,건성,"민감성, 보습",2025.04.13,4,수분감이 오래가서 좋아요.,"쫀쫀함, 수분감, 빠른 흡수",4.26,https://drive.google.com/file/d/1auWw5VFFK5FIxj4dmVMMqQAXoeaBgj6R/view?usp=sharing,,
128,7,무알콜 뮤신 에센스 토너,부지런한여우853,복합성,보습,2026.08.11,5,쫀쫀한 텍스처가 마음에 들어요. 가격도 합리적이라 좋았어요.,"쫀쫀함, 향료 무첨가, 수분감",4.26,,,
129,7,무알콜 뮤신 에센스 토너,사랑스런고래223,건성,"민감성, 보습",2026.05.25,5,'무알콜 뮤신 에센스 토너' 사용 후기예요. 향료가 첨가되지 않았어요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 끈적임 적음, 수분감, 쫀쫀함, 향료 무첨가",4.26,,,
130,8,어성초 77 수딩 토너,몽글몽글한사자720,지성,보습,2025.03.26,2,'어성초 77 수딩 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 수분감이 오래가서 좋아요. 재구매는 안 할 것 같아요.,"저자극, 수분감",4.35,,,
131,8,어성초 77 수딩 토너,느긋한라쿤409,지성,민감성,2026.05.13,4,'어성초 77 수딩 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 재구매 의사 있어요!,"저자극, 수분감",4.35,https://drive.google.com/file/d/1dtzNv-7uAi8cTrO-EJ02I5HJmn4vr6Gb/view?usp=sharing,,
132,8,어성초 77 수딩 토너,게으른곰돌이43,지성,"민감성, 보습",2026.02.19,5,흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"저자극, 빠른 흡수",4.35,,,
133,8,어성초 77 수딩 토너,상큼한물개390,지성,보습,2026.08.10,4,가볍게 발려요. 저자극이라 편하게 쓸 수 있었어요. 끈적임이 적어서 좋아요.,"가벼움, 끈적임 적음, 저자극",4.35,,,
134,8,어성초 77 수딩 토너,소심한문어640,복합성,"민감성, 보습",2025.04.16,3,'어성초 77 수딩 토너' 사용 후기예요. 가볍게 발려요. 나쁘지 않아요.,"가벼움, 저자극, 수분감",4.35,,,
135,8,어성초 77 수딩 토너,대담한사자911,지성,"민감성, 보습",2026.08.31,5,'어성초 77 수딩 토너' 사용 후기예요. 가볍게 발려요. 수분감이 오래가서 좋아요.,"가벼움, 저자극, 빠른 흡수, 수분감",4.35,,,
136,8,어성초 77 수딩 토너,부드러운부엉이261,복합성,민감성,2026.08.24,5,저자극이라 편하게 쓸 수 있었어요. 가볍게 발려요. 재구매 의사 있어요!,"수분감, 저자극, 끈적임 적음, 빠른 흡수, 가벼움",4.35,,,
137,8,어성초 77 수딩 토너,상큼한물개511,지성,"보습, 민감성",2026.08.23,2,'어성초 77 수딩 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 흡수가 빨라서 좋아요. 기대만큼은 아니었어요.,"빠른 흡수, 수분감, 저자극",4.35,,,
138,8,어성초 77 수딩 토너,새침한강아지77,복합성,"민감성, 보습",2025.06.17,5,가볍게 발려요. 흡수가 빨라서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 만족스러운 소비였어요.,"빠른 흡수, 가벼움, 저자극, 수분감",4.35,https://drive.google.com/file/d/1FpZweAEVdvQijtDyCUFRCSlYkAJDV-l2/view?usp=sharing,https://drive.google.com/file/d/1FpZweAEVdvQijtDyCUFRCSlYkAJDV-l2/view?usp=sharing,
139,8,어성초 77 수딩 토너,잠많은코알라900,복합성,없음,2026.07.10,4,'어성초 77 수딩 토너' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"끈적임 적음, 가벼움, 수분감, 저자극, 빠른 흡수",4.35,,,
140,8,어성초 77 수딩 토너,산뜻한문어941,복합성,"민감성, 보습",2025.09.14,5,'어성초 77 수딩 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 저자극이라 편하게 쓸 수 있었어요.,"빠른 흡수, 저자극",4.35,,,
141,8,어성초 77 수딩 토너,상큼한기린452,지성,"보습, 민감성, 피지/블랙헤드",2025.01.08,5,'어성초 77 수딩 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"수분감, 저자극",4.35,,,
142,8,어성초 77 수딩 토너,배부른사자418,복합성,보습,2026.02.06,5,'어성초 77 수딩 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 가볍게 발려요. 끈적임이 적어서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 가벼움, 저자극, 수분감",4.35,,,
143,8,어성초 77 수딩 토너,엉뚱한하마596,지성,없음,2025.07.17,5,가볍게 발려요. 수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"가벼움, 저자극, 수분감",4.35,,,
144,8,어성초 77 수딩 토너,활발한여우227,지성,"민감성, 보습",2025.12.19,5,수분감이 오래가서 좋아요. 저자극이라 편하게 쓸 수 있었어요. 추천하고 싶어요.,"저자극, 수분감, 끈적임 적음",4.35,,,
145,8,어성초 77 수딩 토너,잠많은고양이840,지성,"보습, 민감성",2025.08.16,5,끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 다음에도 또 살 것 같아요.,"저자극, 수분감, 끈적임 적음, 가벼움, 빠른 흡수",4.35,,,
146,8,어성초 77 수딩 토너,평범한토끼809,복합성,"민감성, 보습",2025.03.22,5,가볍게 발려요. 가격도 합리적이라 좋았어요.,"저자극, 빠른 흡수, 수분감, 가벼움, 끈적임 적음",4.35,,,
147,9,올리고 히알루론산 딥 토너,대담한오리151,복합성,보습,2026.06.29,5,'올리고 히알루론산 딥 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 다음에도 또 살 것 같아요.,"수분감, 저자극, 끈적임 적음, 빠른 흡수",4,,,
148,9,올리고 히알루론산 딥 토너,평범한부엉이540,복합성,보습,2026.04.24,5,'올리고 히알루론산 딥 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 가볍게 발려요. 재구매 의사 있어요!,"끈적임 적음, 가벼움",4,,,
149,9,올리고 히알루론산 딥 토너,부지런한하마172,수부지,보습,2025.01.25,4,'올리고 히알루론산 딥 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"저자극, 수분감, 가벼움, 빠른 흡수",4,,,
150,9,올리고 히알루론산 딥 토너,촉촉한강아지339,복합성,보습,2025.11.06,3,수분감이 오래가서 좋아요. 재구매는 고민중이에요.,"수분감, 빠른 흡수",4,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing,https://drive.google.com/file/d/1rLSSL3E9r5Uj_mji-CX6ofhIfZpk1qsZ/view?usp=sharing,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing
151,9,올리고 히알루론산 딥 토너,평범한사자863,수부지,없음,2026.06.06,4,흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"수분감, 끈적임 적음, 빠른 흡수, 저자극",4,,,
152,9,올리고 히알루론산 딥 토너,용감한호랑이145,복합성,보습,2026.08.16,4,'올리고 히알루론산 딥 토너' 사용 후기예요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"저자극, 빠른 흡수",4,,,
153,9,올리고 히알루론산 딥 토너,용감한벌새38,복합성,보습,2025.11.09,5,저자극이라 편하게 쓸 수 있었어요. 끈적임이 적어서 좋아요. 가볍게 발려요. 다음에도 또 살 것 같아요.,"끈적임 적음, 저자극, 가벼움, 빠른 흡수",4,,,
154,9,올리고 히알루론산 딥 토너,대담한문어24,수부지,보습,2026.09.13,2,'올리고 히알루론산 딥 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 가볍게 발려요. 수분감이 오래가서 좋아요. 재구매는 안 할 것 같아요.,"끈적임 적음, 수분감, 가벼움",4,,,
